Total,Category,Customer,SKU,Description,Starting Year,Starting Period,Periods Per Year,Periods Per Cycle,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,,,,,,,,,,,
Total,Cakes,Sids-Club,CH-20-01,CASE - 20 oz. Chocolate Layer Cake,2018,1,12,12,"7,383","6,512","4,375","3,165","2,963","2,252","2,651","4,032","8,694","4,673","5,463","8,104","9,717","5,363","7,785","2,661","3,992","4,012","4,919","4,657","7,016","5,705","6,459","5,100","6,235","7,258","8,467","3,911","3,709","3,810","4,173","3,306","8,709","5,705","7,692","5,423","4,959","8,225","5,181","4,920","3,196","4,939","1,813","4,627","7,479","6,236","5,181","6,451","6,364","4,738","4,375","3,004","2,560","3,709","3,387","3,871","6,931","3,438","4,097","8,602","3,789","3,758","3,853","4,223","3,405","3,091",,,,,,,,,,,
Total,Cakes,Sids-Club,CO-20-01,CASE - 20 oz. Coconut Layer Cake,2018,1,12,12,"21,729","13,780","9,072","6,652","8,018","4,816","3,477","7,348","16,444","11,875","14,709","19,485","19,728","11,491","17,388","9,784","4,687","6,808","9,525","10,281","11,037","11,032","15,110","9,453","11,078","12,765","11,851","5,140","5,443","6,804","5,443","7,257","16,783","13,910","14,061","5,292","6,804","12,852","5,702","10,735","4,308","6,501","2,570","8,013","12,398","10,281","8,119","10,886","10,584","7,106","7,106","6,048","3,326","6,350","4,989","6,501","12,012","7,728","5,208","10,423","4,713","3,780","7,392","6,636","5,544","5,544",,,,,,,,,,,
Total,Cakes,Stuff-Mart,BU-20-02,CASE - 20 oz. Butter Pound Cake,2018,1,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,160","14,839","13,413","18,597","13,219","11,275","2,786",194,0,0,0,0,"14,340","26,271","23,184","38,682","22,973","18,459","5,657",819,0,0,0,0,"30,366","32,508","22,554","29,610","34,839","33,390","9,009","3,150",630,316,,,,,,,,,,,
Total,Cakes,Stuff-Mart,CH-20-01,CASE - 20 oz. Chocolate Layer Cake,2018,1,12,12,,,,,,,,,,,,,,,"9,998","12,028","5,184","8,330","12,074","6,900","12,921","2,750","7,012","18,648","7,771","13,092","9,494","5,613","3,931","21,753","5,212","1,324","18,626","26,551","11,875","50,172","13,824","31,612","32,208","13,797","14,596","18,871","30,326","39,376","55,857","29,992","28,881","31,624","18,367","14,625","26,887","14,172","19,816","12,813","12,292","9,117","25,118","14,707","13,204","21,640","6,667","8,920","18,883","24,096","11,378","13,562",,,,,,,,,,,
Total,Cakes,Stuff-Mart,CO-20-01,CASE - 20 oz. Coconut Layer Cake,2018,1,12,12,, ,,,,,,,,,,,,,"3,787","6,129","1,675","3,837","4,773","3,148","2,241","3,040","6,876","3,535","3,235","3,655","5,896","2,668","1,684","7,449","5,841",333,"5,832","12,350","4,910","23,229","7,476","14,006","16,125","3,796","7,356","13,183","18,345","18,456","17,743","12,331","11,961","13,629","8,575","7,152","18,136","16,140","14,896","10,996","10,504","12,660","37,708","22,034","19,120","16,826","8,205","7,929","14,608","15,825","15,048","21,408",,,,,,,,,,,
Total,Muffins,Food-King,COR-12-11,CASE - 12 count Corn Muffins,2018,1,12,12,,840,"18,480","15,120",0,"1,680","4,200","14,280","18,480",0,"4,200",840,"4,200","5,880","15,960",0,"2,520","4,200","10,080","10,080","2,520",840,"6,720","19,320","1,680",0,"7,560","3,360","3,360","5,290","12,600","5,040",840,"1,680","2,520","8,400","5,540","1,930","5,710",0,"1,680","4,200","8,795","7,140","2,100","3,105","6,720","1,930","1,510","2,015","8,400","5,040","10,920","10,065","5,880","9,240","11,780","7,560","9,240","10,080","12,285","3,730","11,375","5,540","13,500","9,080",,,,,,,,,,,
Total,Muffins,Food-King,BRA-12-11,CASE - 12 count Bran Muffins,2018,1,12,12,"1,563","1,143","1,767","1,351","2,183",831,"2,053","2,598","4,366",0,727,"1,872","2,079",935,"2,806","1,455","1,286","2,702",518,"3,745","2,494","1,143",727,"3,638","1,871","1,873","1,559",934,"1,975","1,864",935,"1,663","2,390",831,"1,663","2,287","1,559","1,143","2,288","1,247",831,"1,880","2,702","1,595","1,767","1,039","2,183","3,326","2,079",0,"3,636","1,559","1,975","2,682","1,868","1,247","3,118","2,079","2,527","2,079","4,263","3,638","2,396","1,351","2,079","2,390",,,,,,,,,,,
Total,Muffins,Food-King,BLU-12-11,CASE - 12 count Blueberry Muffins,2018,1,12,12,824,"2,494","1,767","2,700","2,494","2,573","1,559","2,702","5,296",0,623,"1,773","1,351","1,975","2,910","2,079","2,183","3,431","1,143","4,262","3,839","2,702",831,"4,054","2,287","2,183","3,534","2,598","3,846","2,296","2,494","2,183","3,742","3,222","2,183","3,016","2,079","2,910","3,643","4,467","1,143","3,543","3,014","3,638","3,726","2,598","2,585","4,573","3,846","1,039","4,885","2,287","3,952","2,806","3,222","1,871","4,366","3,846","2,600","4,054","8,316","4,158","4,365",311,"4,158","4,885",,,,,,,,,,,
Total,Muffins,Food-King,APP-12-11,CASE - 12 count Apple Muffins,2018,1,12,12,"1,351","1,975","1,767","3,118","2,494","1,767","3,014","2,390","4,469",0,"1,559","1,769","1,663","2,702","1,973","1,871","1,455","2,598",623,"3,326","2,079","1,767","1,458","3,326","1,351","1,351","3,534","1,975","2,910","1,871","1,975","1,871","3,326","1,871","1,767","2,910","1,975","1,663","2,291","2,806",831,"2,913","2,598","3,014","2,806","1,767","3,430","3,014","2,910","1,147","3,222","2,079","2,079","3,014","3,014","2,286","3,742","2,079","2,806","2,288","4,365","3,118","4,989","1,039","5,197","4,054",,,,,,,,,,,
Total,Muffins,Food-King,OAT-12-11,CASE - 12 count Oatmeal Muffins,2018,1,12,12,,,"4,368","3,360",168,840,"2,352","3,360","4,536","1,680","1,008",336,168,"1,176","5,880",0,0,"2,184","1,838","3,528","1,512",336,"2,016","5,040",168,168,"2,452",672,"1,008","1,092","3,662","1,512",504,672,672,"2,772","1,344",420,"1,946",0,504,"1,310","4,065","3,410",168,84,"3,007",420,386,235,"2,016","1,344","3,019","3,360","2,016","2,520","3,698","2,016","2,688","2,824","3,465","1,516","3,739","2,196","4,392","2,656",,,,,,,,,,,
Total,Muffins,Food-King,BN-20-01,CASE - 12 count Banana Muffins,2018,1,12,12,,,"9,240","9,240",0,840,"3,360","5,880","9,240","4,200",840,0,0,840,"10,080",0,0,"2,520","4,200","7,560","3,360",840,"3,780","10,920","1,680",840,"5,040","1,680",840,0,"5,880","3,360",0,0,"1,680","6,300","2,520",840,"3,130",0,"1,680","3,780","8,650","7,055",0,585,"6,885",500,"1,175",165,"8,565","5,040","13,440","22,680","7,560","15,960","15,960","8,400","9,285","15,800","13,965","6,250","20,840","9,515","16,860","11,760",,,,,,,,,,,
Total,Muffins,Food-King,CT-20-02,CASE - 12 count Carrrot Muffins,2018,1,12,12,,,"14,280","11,760",0,840,"7,560","10,920","13,440","3,360","3,360",840,0,"5,040","16,800",0,"2,520","5,040","6,720","13,415","2,520",840,"6,720","13,440","2,520",840,"5,880","1,680","4,200","4,200","11,840","3,360","1,680",840,"4,200","5,040","6,300","2,100","3,780",0,"3,360","5,205","18,140","8,820",420,"1,595","10,785","2,100",420,"1,510","9,825","5,040","11,745","17,915","9,240","11,805","14,280","10,080","8,445","10,920","14,265","2,520","13,440","6,720","14,280","11,760",,,,,,,,,,,
Total,Muffins,Food-King,CH-20-02,CASE - 12 count Chocolate Muffins,2018,1,12,12,"5,715","1,035","2,595","5,190","7,795","1,555","5,195","4,155","11,815",0,0,"5,195","3,635","1,035","5,195","2,075","5,520","3,115","2,075","5,715","4,675","3,115",520,"7,275","3,635","4,155","3,635","3,635","3,115","6,755","4,155","2,075","8,835","1,555","3,115","5,715","3,115","2,595","5,715","4,155","1,555","5,265","5,200","5,195","5,195","4,155","5,715","7,795","2,595","4,675","3,635","1,555","6,755","4,155","6,235","4,155","6,235","6,460","7,275","4,675","8,835","7,795","3,635","2,075","5,195","5,730",,,,,,,,,,,
Total,Muffins,Grocery-Land,COR-12-11,CASE - 12 count Corn Muffins,2018,1,12,12,"12,061","9,072","10,872","15,840","15,120","13,536","14,646","6,912","10,584","11,808","5,076","11,952","11,232","14,076","8,784","13,284","10,080","12,960","9,252","15,408","6,768","10,368","9,792","6,048","8,784","4,320","13,248","4,896","9,648","8,496","11,155","9,761","15,793","6,840","9,216","10,848","5,472","5,232","6,528","9,168","6,048","10,656","6,423","9,963","12,624","6,768","4,224","9,120","9,120","8,160","4,752","4,656","4,944","11,040","7,521","9,072","6,624","4,464","4,560","5,760","4,032","3,648","5,808","7,344","6,168","9,144",,,,,,,,,,,
Total,Muffins,Grocery-Land,BLU-12-11,CASE - 12 count Blueberry Muffins,2018,1,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,663","1,455","4,158","1,871","2,910","2,183","8,420","3,118","4,198","8,731","3,014","5,925","8,734","7,484","6,549","8,004","4,573","6,450","9,251",935,"8,729","17,879","3,638","6,029","16,840",,,,,,,,,,,
Total,Muffins,Grocery-Land,OAT-12-11,CASE - 12 count Oatmeal Muffins,2018,1,12,12,"20,196","12,672","18,144","24,192","23,472","22,590","23,297","10,368","20,952","18,828","8,100","20,322","19,008","21,708","15,120","27,936","15,552","23,904","20,736","26,496","14,688","17,424","15,840","9,648","17,231","5,904","20,160","7,776","16,992","15,264","15,264","13,248","23,725","11,455","14,256","14,112","8,496","9,072","9,072","15,120","9,901","18,144","8,784","18,720","19,152","9,936","6,192","12,528","15,120","12,960","8,064","8,928","5,904","17,568","10,719","16,560","10,224","5,472","7,061","9,084","6,192","6,192","10,245","9,739","6,912","8,880",,,,,,,,,,,
Total,Muffins,Grocery-Land,BN-20-01,CASE - 12 count Banana Muffins,2018,1,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,095","11,375","8,770","11,955","1,200",0,"5,880","3,840",960,"2,880","6,260","1,060","3,960","5,990","2,400","2,700","1,920","1,920","2,880","2,400","1,440","7,775","4,415","7,200","5,760","2,880","2,400","1,440",480,"1,440","8,205","5,055","3,360","6,245",,,,,,,,,,,
Total,Muffins,Grocery-Land,CT-20-02,CASE - 12 count Carrrot Muffins,2018,1,12,12,"8,964","6,480","7,920","12,672","11,556","10,184","11,779","5,328","10,440","9,286","4,896","9,504","10,368","11,520","6,624","13,680","9,451","12,672","9,520","14,724","9,792","9,072","8,496","5,760","9,216","3,600","12,384","5,328","9,216","8,640","9,027","9,072","12,711","6,480","7,507","8,352","4,752","4,752","6,336","9,072","5,184","9,360","4,757","9,156","11,160","5,472","3,312","7,200","7,776","7,920","4,464","5,040","4,608","9,936","4,851","8,064","6,048","4,608","3,024","4,320","4,032","3,744","5,616","9,312","9,266","14,904",,,,,,,,,,,
Total,Muffins,Grocery-Land,CH-20-02,CASE - 12 count Chocolate Muffins,2018,1,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,039","3,950","3,952","3,534","2,500","5,925","2,286","7,692","6,554","10,187","5,086","7,588","12,267","8,731","9,625","10,914","6,237","9,771","12,370","1,767","10,187","28,066","4,469","7,484","12,890",,,,,,,,,,,
Total,Muffins,Sids-Club,COR-12-11,CASE - 12 count Corn Muffins,2018,1,12,12,,,,,,,,,,,,,,,"3,010",980,"2,240","4,452","2,940","3,024","3,416","2,744","2,688","3,080","1,652","2,576","4,368","1,400","2,660","4,088","2,548","3,156","3,528","2,436","3,080","2,968","1,820","2,576","3,276","2,716","2,688","3,024","2,744","2,660","3,640","2,520","2,128","3,360","2,044","2,436","3,836","2,632","2,660","3,500","3,360","2,912","3,192","2,717","2,464","2,800","2,184","2,548","3,304","2,520","4,704","3,108",,,,,,,,,,,
Total,Muffins,Sids-Club,BLU-12-11,CASE - 12 count Blueberry Muffins,2018,1,12,12,"1,479","2,474","3,271","1,664","2,333","3,327","2,517","3,025","2,982","2,506","2,409","2,614","1,653","2,128","2,766","2,307","2,128","3,122","2,301","2,452","2,355","2,203","2,161","2,863","1,253","2,388","3,101","1,891","2,442","3,270","3,025","2,798","3,220","2,614","2,496","3,111","1,383","1,847","3,209","2,409","2,171","3,198","3,068","2,690","3,435","2,906","2,452","3,565","1,653","2,614","3,295","2,463","2,333","3,868","3,198","3,068","3,684","3,079","2,366","3,122","2,279","2,571","3,878","2,085","2,604","4,170",,,,,,,,,,,
Total,Muffins,Sids-Club,APP-12-11,CASE - 12 count Apple Muffins,2018,1,12,12,"2,030","3,325","4,073","2,463","3,036","4,537","3,122","3,833","4,051","3,597","3,392","3,738","2,463","3,047","3,749","3,241","2,928","3,727","3,076","3,036","3,003","2,884","2,517","3,392","1,739","2,485","3,068","1,912","2,604","3,295","2,820","2,539","3,047","2,776","2,550","3,716","1,307","2,053","3,182","2,463","2,485","3,620","2,580","2,409","3,230","2,755","2,474","3,327","1,739","2,366","3,500","2,377","2,593","3,814","3,012","2,992","3,608","3,090","2,604","3,111","2,182","2,355","3,738","2,344","2,928","3,900",,,,,,,,,,,
Total,Muffins,Sids-Club,OAT-12-11,CASE - 12 count Oatmeal Muffins,2018,1,12,12,"2,714","3,064","4,452","3,220","4,032","3,892","4,227","4,172","4,704","3,892","3,052","4,592","2,548","3,752","4,869","3,304","3,864","4,040","2,550","3,696","3,836","3,192","3,304","3,444","1,876","3,136","4,228","1,764","3,052","4,620","2,856","3,416","3,976","2,324","5,972","3,500",728,"2,408","3,640","2,912","3,080","3,752","3,276","2,925","4,564","2,912","2,464","4,060","2,492","2,828","4,200","2,912","3,052","3,808","3,976","3,220","3,640","3,024","2,800","3,136","2,380","2,856","3,642","2,576","5,208","2,044",,,,,,,,,,,
Total,Muffins,Sids-Club,BN-20-01,CASE - 12 count Banana Muffins,2018,1,12,12,"2,072","2,352","2,856","2,156","2,772","2,687","2,884","2,716","2,940","2,436","2,296","2,940","2,072","2,856","3,584","2,212","3,360","3,332","2,352","2,962","3,024","2,772","2,604","2,828","1,596","2,632","3,780","1,400","2,408","3,836","2,324","2,912","3,052","1,848","5,152","2,408",420,"1,764","3,080","2,464","2,576","2,968","2,576","2,520","3,444","2,464","1,932","2,716","2,016","2,240","3,304","2,044","2,324","3,053","2,788","2,436","2,716","2,156","1,904","2,296","1,764","2,044","2,548","1,848","3,892","1,792",,,,,,,,,,,
Total,Muffins,Sids-Club,CT-20-02,CASE - 12 count Carrrot Muffins,2018,1,12,12,,,,,,,,,,,,,,,"2,982",980,"1,372","2,604","1,585","2,408","2,100","2,044","1,820","1,848","1,176","1,654","2,660","1,008","1,932","2,800","1,820","2,100","2,604","1,652","2,156","1,932","1,316","1,848","2,352","1,876","1,932","2,156","2,016","1,915","2,800","1,708","1,428","2,240","1,652","1,680","2,548","1,764","1,960","2,380","2,380","1,988","2,184","1,820","1,708","2,100","1,540","1,904","2,296","1,654","3,444","1,652",,,,,,,,,,,
Total,Muffins,Sids-Club,CH-20-02,CASE - 12 count Chocolate Muffins,2018,1,12,12,"3,090","4,753","5,585","3,857","4,991","7,422","4,505","5,229","5,499","4,224","4,008","4,645","3,641","4,462","5,056","4,429","3,522","4,894","3,749","3,986","4,148","3,295","2,825","4,170","2,290","3,630","4,019","2,582","3,014","4,699","3,695","3,414","3,770","3,371","3,219","4,354","1,901","2,614","4,138","2,830","2,874","4,127","3,597","3,403","4,094","3,446","3,263","4,343","2,355","3,371","3,900","2,777","2,960","4,505","3,738","3,738","3,986","3,565","2,625","3,597","2,906","3,003","3,933","2,647","2,960","4,570",,,,,,,,,,,
Total,Muffins,Stuff-Mart,COR-12-11,CASE - 12 count Corn Muffins,2018,1,12,12,,,,,,,,,,,,,,,"6,249","6,582","9,979","7,012","11,596","9,508","6,283","3,864","5,678","17,388","7,660","5,712","4,603","6,216","12,332","4,670","12,835","12,700","7,694","4,093","6,820","7,862","6,316","8,232","9,945","7,963","10,488","5,409","7,324","15,993","4,972","1,276","6,787","9,912","6,888","5,409","7,257","6,787","1,344","13,104","5,140","13,339","6,518","7,190","7,728","6,820","5,980","6,585","13,440","7,224","10,516","2,587",,,,,,,,,,,
Total,Muffins,Stuff-Mart,BLU-12-11,CASE - 12 count Blueberry Muffins,2018,1,12,12,,,,,,,,,,,,,,,"4,334","2,957","4,253","4,496","3,078","4,212","4,172","3,888","3,807","4,010","2,430","3,645","5,589","2,187","4,091","6,433","3,929","4,820","5,751","3,726","4,455","4,050","2,876","4,253","4,658","3,848","4,253","4,838","4,496","4,779","5,508","4,698","3,929","6,116","4,091","4,172","5,888","4,779","4,496","5,994","6,237","4,658","5,549","4,536","4,253","5,306","4,010","4,739","6,197","4,253","5,630","6,521",,,,,,,,,,,
Total,Muffins,Stuff-Mart,APP-12-11,CASE - 12 count Apple Muffins,2018,1,12,12,,,,,,,,,,,,,,,"4,415","2,754","3,483","3,483","2,531","3,159","3,281","3,362","3,200","3,402","1,823","3,321","4,496","1,620","2,997","4,415","2,876","3,402","4,010","2,997","3,807","3,159","2,633","3,645","4,091","2,835","3,159","3,888","3,321","3,483","3,888","4,010","2,876","4,294","2,471","2,795","4,455","3,240","3,524","4,455","4,496","3,807","4,688","3,929","3,929","4,334","3,240","3,807","4,820","3,443","4,415","5,265",,,,,,,,,,,
Total,Muffins,Stuff-Mart,OAT-12-11,CASE - 12 count Oatmeal Muffins,2018,1,12,12,,,,,,,,,,,,,,,"8,164","8,569","11,827","6,018","12,052","8,803","7,257","5,611","7,089","21,792","9,079","6,249","4,032","8,131","14,024","4,939","14,582","16,396","9,609","5,644","7,795","10,617","8,232","11,793","13,036","9,508","15,524","5,880","9,307","21,940","8,601","1,444","10,852","15,523","11,928","10,483","13,473","8,668","10,416","29,635","15,892","15,355","12,432","12,902","14,750","12,969","11,121","11,323","23,284","10,651","12,700","4,704",,,,,,,,,,,
Total,Muffins,Stuff-Mart,BN-20-01,CASE - 12 count Banana Muffins,2018,1,12,12,,,,,,,,,,,,,,,"7,761","8,926","11,491","7,653","16,046","10,987","7,660","4,334","6,484","22,780","9,408","6,417","4,267","7,324","13,755","7,291","16,900","15,523","10,080","4,367","8,232","11,020","8,568","11,390","13,036","10,113","15,776","7,929","10,785","23,016","7,593","2,889","11,659","16,900","12,948","10,752","14,044","8,971","10,113","28,257","15,422","21,235","11,659","12,902","14,683","13,238","11,491","11,995","22,747","13,444","15,556","4,435",,,,,,,,,,,
Total,Muffins,Stuff-Mart,CT-20-02,CASE - 12 count Carrrot Muffins,2018,1,12,12,,,,,,,,,,,,,,,"3,528","4,239","7,092","6,372","8,889","6,922","4,234","2,890","3,763","12,151","4,906","3,427","3,326","4,334","8,713","3,696","8,770","9,072","5,309","3,374","4,771","5,410","4,603","5,342","7,594","5,880","9,068","3,830","4,738","12,230","4,200","1,478","4,704","7,795","6,082","3,730","6,854","5,510","6,955","9,610","4,066","9,912","4,469","4,200","5,309","4,435","3,864","3,898","8,434","5,779","8,669","2,285",,,,,,,,,,,
Total,Muffins,Stuff-Mart,CH-20-02,CASE - 12 count Chocolate Muffins,2018,1,12,12,,,,,,,,,,,,,,,"5,629","3,321","4,739","4,860","3,545","4,901","4,739","4,131","3,929","4,050","2,390","3,929","5,873","2,309","4,131","6,521","3,848","4,698","5,630","3,848","4,779","4,010","3,159","4,577","4,739","3,848","3,929","5,022","4,577","4,131","5,549","4,860","3,686","6,156","4,334","4,617","5,792","4,415","4,861","6,035","5,873","5,063","5,588","4,739","3,969","5,387","4,093","4,496","5,670","4,050","5,103","5,711",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
