Date,SKU,Category,Units Sold,Unit Price,Revenue,Cost,Profit
2016-11-01,SKU_D,Household,1002,4.0,4008.0,2562.93,1445.07
2016-12-01,SKU_A,Beverages,841,2.5,2102.5,1438.66,663.84
2016-12-01,SKU_B,Snacks,765,1.5,1147.5,750.92,396.58
2016-12-01,SKU_C,Personal Care,961,3.0,2883.0,2244.28,638.72
2016-12-01,SKU_D,Household,779,4.0,3116.0,2460.99,655.01
2017-01-01,SKU_A,Beverages,845,2.5,2112.5,1595.71,516.79
2017-01-01,SKU_B,Snacks,910,1.5,1365.0,896.09,468.91
2017-01-01,SKU_C,Personal Care,1088,3.0,3264.0,2378.49,885.51
2017-01-01,SKU_D,Household,952,4.0,3808.0,2872.3,935.7
2017-02-01,SKU_A,Beverages,1363,2.5,3407.5,2075.17,1332.33
2017-02-01,SKU_B,Snacks,1065,1.5,1597.5,1229.62,367.88
2017-02-01,SKU_C,Personal Care,954,3.0,2862.0,1776.04,1085.96
2017-02-01,SKU_D,Household,1180,4.0,4720.0,2837.87,1882.13
2017-03-01,SKU_A,Beverages,1272,2.5,3180.0,2261.94,918.06
2017-03-01,SKU_B,Snacks,1018,1.5,1527.0,1109.03,417.97
2017-03-01,SKU_C,Personal Care,1052,3.0,3156.0,2399.3,756.7
2017-03-01,SKU_D,Household,1195,4.0,4780.0,3321.47,1458.53
2017-04-01,SKU_A,Beverages,1323,2.5,3307.5,2363.06,944.44
2017-04-01,SKU_B,Snacks,1382,1.5,2073.0,1479.25,593.75
2017-04-01,SKU_C,Personal Care,1339,3.0,4017.0,2642.61,1374.39
2017-04-01,SKU_D,Household,966,4.0,3864.0,3036.31,827.69
2017-05-01,SKU_A,Beverages,1204,2.5,3010.0,2092.52,917.48
2017-05-01,SKU_B,Snacks,1006,1.5,1509.0,1037.4,471.6
2017-05-01,SKU_C,Personal Care,1264,3.0,3792.0,2427.64,1364.36
2017-05-01,SKU_D,Household,1110,4.0,4440.0,3487.77,952.23
2017-06-01,SKU_A,Beverages,1272,2.5,3180.0,2358.3,821.7
2017-06-01,SKU_B,Snacks,953,1.5,1429.5,1125.28,304.22
2017-06-01,SKU_C,Personal Care,1181,3.0,3543.0,2554.91,988.09
2017-06-01,SKU_D,Household,938,4.0,3752.0,2963.13,788.87
2017-07-01,SKU_A,Beverages,1084,2.5,2710.0,1810.1,899.9
2017-07-01,SKU_B,Snacks,1060,1.5,1590.0,1100.81,489.19
2017-07-01,SKU_C,Personal Care,1008,3.0,3024.0,1841.3,1182.7
2017-07-01,SKU_D,Household,1020,4.0,4080.0,3205.93,874.07
2017-08-01,SKU_A,Beverages,1034,2.5,2585.0,1617.35,967.65
2017-08-01,SKU_B,Snacks,943,1.5,1414.5,1096.9,317.6
2017-08-01,SKU_C,Personal Care,910,3.0,2730.0,1912.45,817.55
2017-08-01,SKU_D,Household,884,4.0,3536.0,2184.58,1351.42
2017-09-01,SKU_A,Beverages,740,2.5,1850.0,1154.36,695.64
2017-09-01,SKU_B,Snacks,849,1.5,1273.5,993.67,279.83
2017-09-01,SKU_C,Personal Care,868,3.0,2604.0,1682.12,921.88
2017-09-01,SKU_D,Household,877,4.0,3508.0,2344.18,1163.82
2017-10-01,SKU_A,Beverages,860,2.5,2150.0,1569.87,580.13
2017-10-01,SKU_B,Snacks,836,1.5,1254.0,883.0,371.0
2017-10-01,SKU_C,Personal Care,834,3.0,2502.0,1897.28,604.72
2017-10-01,SKU_D,Household,762,4.0,3048.0,2347.25,700.75
2017-11-01,SKU_A,Beverages,1008,2.5,2520.0,1790.48,729.52
2017-11-01,SKU_B,Snacks,930,1.5,1395.0,1002.14,392.86
2017-11-01,SKU_C,Personal Care,848,3.0,2544.0,1551.92,992.08
2017-11-01,SKU_D,Household,854,4.0,3416.0,2607.5,808.5
2017-12-01,SKU_A,Beverages,883,2.5,2207.5,1513.25,694.25
2017-12-01,SKU_B,Snacks,943,1.5,1414.5,1022.21,392.29
2017-12-01,SKU_C,Personal Care,912,3.0,2736.0,1803.92,932.08
2017-12-01,SKU_D,Household,988,4.0,3952.0,3009.3,942.7
2018-01-01,SKU_A,Beverages,962,2.5,2405.0,1696.73,708.27
2018-01-01,SKU_B,Snacks,1146,1.5,1719.0,1173.53,545.47
2018-01-01,SKU_C,Personal Care,1059,3.0,3177.0,1906.7,1270.3
2018-01-01,SKU_D,Household,1176,4.0,4704.0,3582.06,1121.94
2018-02-01,SKU_A,Beverages,1095,2.5,2737.5,1814.64,922.86
2018-02-01,SKU_B,Snacks,1011,1.5,1516.5,1187.73,328.77
2018-02-01,SKU_C,Personal Care,980,3.0,2940.0,1912.96,1027.04
2018-02-01,SKU_D,Household,1229,4.0,4916.0,3711.17,1204.83
2018-03-01,SKU_A,Beverages,1267,2.5,3167.5,2339.21,828.29
2018-03-01,SKU_B,Snacks,1175,1.5,1762.5,1308.9,453.6
2018-03-01,SKU_C,Personal Care,1405,3.0,4215.0,3320.56,894.44
2018-03-01,SKU_D,Household,1316,4.0,5264.0,4114.01,1149.99
2018-04-01,SKU_A,Beverages,1218,2.5,3045.0,2430.92,614.08
2018-04-01,SKU_B,Snacks,1505,1.5,2257.5,1514.09,743.41
2018-04-01,SKU_C,Personal Care,1359,3.0,4077.0,3051.22,1025.78
2018-04-01,SKU_D,Household,1046,4.0,4184.0,2931.47,1252.53
2018-05-01,SKU_A,Beverages,1098,2.5,2745.0,1933.06,811.94
2018-05-01,SKU_B,Snacks,1258,1.5,1887.0,1452.24,434.76
2018-05-01,SKU_C,Personal Care,1056,3.0,3168.0,2334.52,833.48
2018-05-01,SKU_D,Household,1380,4.0,5520.0,3713.18,1806.82
2018-06-01,SKU_A,Beverages,1244,2.5,3110.0,2440.39,669.61
2018-06-01,SKU_B,Snacks,972,1.5,1458.0,1148.76,309.24
2018-06-01,SKU_C,Personal Care,1374,3.0,4122.0,3218.79,903.21
2018-06-01,SKU_D,Household,1033,4.0,4132.0,2820.29,1311.71
2018-07-01,SKU_A,Beverages,875,2.5,2187.5,1745.98,441.52
2018-07-01,SKU_B,Snacks,1115,1.5,1672.5,1314.74,357.76
2018-07-01,SKU_C,Personal Care,978,3.0,2934.0,2236.0,698.0
2018-07-01,SKU_D,Household,1107,4.0,4428.0,2863.96,1564.04
2018-08-01,SKU_A,Beverages,982,2.5,2455.0,1684.54,770.46
2018-08-01,SKU_B,Snacks,1007,1.5,1510.5,1110.15,400.35
2018-08-01,SKU_C,Personal Care,982,3.0,2946.0,2341.45,604.55
2018-08-01,SKU_D,Household,935,4.0,3740.0,2272.45,1467.55
2018-09-01,SKU_A,Beverages,868,2.5,2170.0,1598.3,571.7
2018-09-01,SKU_B,Snacks,730,1.5,1095.0,661.56,433.44
2018-09-01,SKU_C,Personal Care,760,3.0,2280.0,1470.79,809.21
2018-09-01,SKU_D,Household,980,4.0,3920.0,3056.9,863.1
2018-10-01,SKU_A,Beverages,832,2.5,2080.0,1635.58,444.42
2018-10-01,SKU_B,Snacks,875,1.5,1312.5,1037.1,275.4
2018-10-01,SKU_C,Personal Care,860,3.0,2580.0,1844.15,735.85
2018-10-01,SKU_D,Household,930,4.0,3720.0,2299.1,1420.9
2018-11-01,SKU_A,Beverages,826,2.5,2065.0,1295.79,769.21
2018-11-01,SKU_B,Snacks,879,1.5,1318.5,1005.51,312.99
2018-11-01,SKU_C,Personal Care,944,3.0,2832.0,2165.58,666.42
2018-11-01,SKU_D,Household,739,4.0,2956.0,2263.73,692.27
2018-12-01,SKU_A,Beverages,941,2.5,2352.5,1783.1,569.4
2018-12-01,SKU_B,Snacks,1015,1.5,1522.5,1127.61,394.89
2018-12-01,SKU_C,Personal Care,858,3.0,2574.0,1673.56,900.44
2018-12-01,SKU_D,Household,737,4.0,2948.0,2111.94,836.06
2019-01-01,SKU_A,Beverages,1027,2.5,2567.5,1639.7,927.8
2019-01-01,SKU_B,Snacks,1082,1.5,1623.0,1284.89,338.11
2019-01-01,SKU_C,Personal Care,1272,3.0,3816.0,3029.24,786.76
2019-01-01,SKU_D,Household,1160,4.0,4640.0,3518.27,1121.73
2019-02-01,SKU_A,Beverages,1181,2.5,2952.5,2305.61,646.89
2019-02-01,SKU_B,Snacks,1021,1.5,1531.5,1025.05,506.45
2019-02-01,SKU_C,Personal Care,1077,3.0,3231.0,2344.15,886.85
2019-02-01,SKU_D,Household,1142,4.0,4568.0,3266.02,1301.98
2019-03-01,SKU_A,Beverages,1221,2.5,3052.5,2326.8,725.7
2019-03-01,SKU_B,Snacks,1253,1.5,1879.5,1290.41,589.09
2019-03-01,SKU_C,Personal Care,1259,3.0,3777.0,2890.43,886.57
2019-03-01,SKU_D,Household,898,4.0,3592.0,2168.6,1423.4
2019-04-01,SKU_A,Beverages,1205,2.5,3012.5,2302.19,710.31
2019-04-01,SKU_B,Snacks,1353,1.5,2029.5,1579.9,449.6
2019-04-01,SKU_C,Personal Care,915,3.0,2745.0,1704.16,1040.84
2019-04-01,SKU_D,Household,1107,4.0,4428.0,3332.09,1095.91
2019-05-01,SKU_A,Beverages,1017,2.5,2542.5,1887.34,655.16
2019-05-01,SKU_B,Snacks,1308,1.5,1962.0,1266.81,695.19
2019-05-01,SKU_C,Personal Care,1263,3.0,3789.0,2306.41,1482.59
2019-05-01,SKU_D,Household,1177,4.0,4708.0,3204.59,1503.41
2019-06-01,SKU_A,Beverages,1229,2.5,3072.5,2149.09,923.41
2019-06-01,SKU_B,Snacks,1085,1.5,1627.5,1188.63,438.87
2019-06-01,SKU_C,Personal Care,1313,3.0,3939.0,2956.49,982.51
2019-06-01,SKU_D,Household,1286,4.0,5144.0,3151.48,1992.52
2019-07-01,SKU_A,Beverages,1241,2.5,3102.5,2310.85,791.65
2019-07-01,SKU_B,Snacks,1142,1.5,1713.0,1308.3,404.7
2019-07-01,SKU_C,Personal Care,978,3.0,2934.0,2042.8,891.2
2019-07-01,SKU_D,Household,988,4.0,3952.0,3128.23,823.77
2019-08-01,SKU_A,Beverages,1009,2.5,2522.5,1699.69,822.81
2019-08-01,SKU_B,Snacks,902,1.5,1353.0,867.52,485.48
2019-08-01,SKU_C,Personal Care,956,3.0,2868.0,1791.75,1076.25
2019-08-01,SKU_D,Household,943,4.0,3772.0,2861.98,910.02
2019-09-01,SKU_A,Beverages,861,2.5,2152.5,1662.86,489.64
2019-09-01,SKU_B,Snacks,944,1.5,1416.0,985.62,430.38
2019-09-01,SKU_C,Personal Care,744,3.0,2232.0,1362.93,869.07
2019-09-01,SKU_D,Household,755,4.0,3020.0,1963.42,1056.58
2019-10-01,SKU_A,Beverages,811,2.5,2027.5,1404.22,623.28
2019-10-01,SKU_B,Snacks,749,1.5,1123.5,825.97,297.53
2019-10-01,SKU_C,Personal Care,831,3.0,2493.0,1516.49,976.51
2019-10-01,SKU_D,Household,759,4.0,3036.0,2266.38,769.62
2019-11-01,SKU_A,Beverages,820,2.5,2050.0,1432.79,617.21
2019-11-01,SKU_B,Snacks,674,1.5,1011.0,618.7,392.3
2019-11-01,SKU_C,Personal Care,773,3.0,2319.0,1822.69,496.31
2019-11-01,SKU_D,Household,912,4.0,3648.0,2545.49,1102.51
2019-12-01,SKU_A,Beverages,931,2.5,2327.5,1831.85,495.65
2019-12-01,SKU_B,Snacks,820,1.5,1230.0,971.26,258.74
2019-12-01,SKU_C,Personal Care,1008,3.0,3024.0,2357.72,666.28
2019-12-01,SKU_D,Household,949,4.0,3796.0,2378.7,1417.3
2020-01-01,SKU_A,Beverages,1001,2.5,2502.5,1880.58,621.92
2020-01-01,SKU_B,Snacks,1014,1.5,1521.0,965.24,555.76
2020-01-01,SKU_C,Personal Care,1026,3.0,3078.0,2349.51,728.49
2020-01-01,SKU_D,Household,901,4.0,3604.0,2730.68,873.32
2020-02-01,SKU_A,Beverages,1099,2.5,2747.5,2106.38,641.12
2020-02-01,SKU_B,Snacks,1113,1.5,1669.5,1035.39,634.11
2020-02-01,SKU_C,Personal Care,1024,3.0,3072.0,2214.15,857.85
2020-02-01,SKU_D,Household,1127,4.0,4508.0,3357.52,1150.48
2020-03-01,SKU_A,Beverages,1182,2.5,2955.0,2252.57,702.43
2020-03-01,SKU_B,Snacks,1059,1.5,1588.5,1207.62,380.88
2020-03-01,SKU_C,Personal Care,1019,3.0,3057.0,2004.41,1052.59
2020-03-01,SKU_D,Household,1212,4.0,4848.0,3383.98,1464.02
2020-04-01,SKU_A,Beverages,1344,2.5,3360.0,2615.21,744.79
2020-04-01,SKU_B,Snacks,1094,1.5,1641.0,1232.71,408.29
2020-04-01,SKU_C,Personal Care,1331,3.0,3993.0,2663.16,1329.84
2020-04-01,SKU_D,Household,1235,4.0,4940.0,3489.96,1450.04
2020-05-01,SKU_A,Beverages,1378,2.5,3445.0,2315.42,1129.58
2020-05-01,SKU_B,Snacks,1107,1.5,1660.5,1130.36,530.14
2020-05-01,SKU_C,Personal Care,1066,3.0,3198.0,2023.47,1174.53
2020-05-01,SKU_D,Household,1350,4.0,5400.0,3956.56,1443.44
2020-06-01,SKU_A,Beverages,968,2.5,2420.0,1682.04,737.96
2020-06-01,SKU_B,Snacks,1139,1.5,1708.5,1357.72,350.78
2020-06-01,SKU_C,Personal Care,1202,3.0,3606.0,2581.5,1024.5
2020-06-01,SKU_D,Household,1255,4.0,5020.0,3054.28,1965.72
2020-07-01,SKU_A,Beverages,1274,2.5,3185.0,2094.43,1090.57
2020-07-01,SKU_B,Snacks,1099,1.5,1648.5,1108.62,539.88
2020-07-01,SKU_C,Personal Care,1069,3.0,3207.0,2198.58,1008.42
2020-07-01,SKU_D,Household,1212,4.0,4848.0,3041.9,1806.1
2020-08-01,SKU_A,Beverages,868,2.5,2170.0,1418.52,751.48
2020-08-01,SKU_B,Snacks,890,1.5,1335.0,914.06,420.94
2020-08-01,SKU_C,Personal Care,942,3.0,2826.0,1983.96,842.04
2020-08-01,SKU_D,Household,1064,4.0,4256.0,2749.31,1506.69
2020-09-01,SKU_A,Beverages,846,2.5,2115.0,1595.04,519.96
2020-09-01,SKU_B,Snacks,813,1.5,1219.5,787.08,432.42
2020-09-01,SKU_C,Personal Care,979,3.0,2937.0,2099.84,837.16
2020-09-01,SKU_D,Household,809,4.0,3236.0,2057.38,1178.62
2020-10-01,SKU_A,Beverages,835,2.5,2087.5,1348.4,739.1
2020-10-01,SKU_B,Snacks,865,1.5,1297.5,996.88,300.62
2020-10-01,SKU_C,Personal Care,667,3.0,2001.0,1300.28,700.72
2020-10-01,SKU_D,Household,887,4.0,3548.0,2359.15,1188.85
2020-11-01,SKU_A,Beverages,863,2.5,2157.5,1578.45,579.05
2020-11-01,SKU_B,Snacks,1024,1.5,1536.0,970.59,565.41
2020-11-01,SKU_C,Personal Care,891,3.0,2673.0,1891.28,781.72
2020-11-01,SKU_D,Household,809,4.0,3236.0,2200.19,1035.81
2020-12-01,SKU_A,Beverages,958,2.5,2395.0,1664.07,730.93
2020-12-01,SKU_B,Snacks,813,1.5,1219.5,838.15,381.35
2020-12-01,SKU_C,Personal Care,980,3.0,2940.0,2267.52,672.48
2020-12-01,SKU_D,Household,891,4.0,3564.0,2517.83,1046.17
2021-01-01,SKU_A,Beverages,1072,2.5,2680.0,1827.82,852.18
2021-01-01,SKU_B,Snacks,1166,1.5,1749.0,1327.87,421.13
2021-01-01,SKU_C,Personal Care,1028,3.0,3084.0,2286.18,797.82
2021-01-01,SKU_D,Household,930,4.0,3720.0,2356.79,1363.21
2021-02-01,SKU_A,Beverages,1296,2.5,3240.0,2296.81,943.19
2021-02-01,SKU_B,Snacks,1358,1.5,2037.0,1445.01,591.99
2021-02-01,SKU_C,Personal Care,1102,3.0,3306.0,2606.08,699.92
2021-02-01,SKU_D,Household,1317,4.0,5268.0,3390.88,1877.12
2021-03-01,SKU_A,Beverages,1227,2.5,3067.5,2140.2,927.3
2021-03-01,SKU_B,Snacks,1240,1.5,1860.0,1383.18,476.82
2021-03-01,SKU_C,Personal Care,1414,3.0,4242.0,3045.49,1196.51
2021-03-01,SKU_D,Household,1364,4.0,5456.0,4148.93,1307.07
2021-04-01,SKU_A,Beverages,1184,2.5,2960.0,2104.1,855.9
2021-04-01,SKU_B,Snacks,1096,1.5,1644.0,1044.91,599.09
2021-04-01,SKU_C,Personal Care,1139,3.0,3417.0,2532.54,884.46
2021-04-01,SKU_D,Household,1234,4.0,4936.0,3673.45,1262.55
2021-05-01,SKU_A,Beverages,1205,2.5,3012.5,1980.96,1031.54
2021-05-01,SKU_B,Snacks,1076,1.5,1614.0,979.43,634.57
2021-05-01,SKU_C,Personal Care,1469,3.0,4407.0,3411.97,995.03
2021-05-01,SKU_D,Household,1225,4.0,4900.0,3354.03,1545.97
2021-06-01,SKU_A,Beverages,1143,2.5,2857.5,2161.34,696.16
2021-06-01,SKU_B,Snacks,1246,1.5,1869.0,1398.95,470.05
2021-06-01,SKU_C,Personal Care,1023,3.0,3069.0,2187.56,881.44
2021-06-01,SKU_D,Household,1088,4.0,4352.0,2817.02,1534.98
2021-07-01,SKU_A,Beverages,1086,2.5,2715.0,1804.27,910.73
2021-07-01,SKU_B,Snacks,1014,1.5,1521.0,1050.45,470.55
2021-07-01,SKU_C,Personal Care,1161,3.0,3483.0,2448.05,1034.95
2021-07-01,SKU_D,Household,1123,4.0,4492.0,2842.63,1649.37
2021-08-01,SKU_A,Beverages,840,2.5,2100.0,1339.1,760.9
2021-08-01,SKU_B,Snacks,846,1.5,1269.0,812.05,456.95
2021-08-01,SKU_C,Personal Care,1207,3.0,3621.0,2368.0,1253.0
2021-08-01,SKU_D,Household,943,4.0,3772.0,2880.54,891.46
2021-09-01,SKU_A,Beverages,779,2.5,1947.5,1420.3,527.2
2021-09-01,SKU_B,Snacks,910,1.5,1365.0,953.65,411.35
2021-09-01,SKU_C,Personal Care,768,3.0,2304.0,1395.09,908.91
2021-09-01,SKU_D,Household,825,4.0,3300.0,2443.65,856.35
2021-10-01,SKU_A,Beverages,714,2.5,1785.0,1382.55,402.45
2021-10-01,SKU_B,Snacks,838,1.5,1257.0,1001.19,255.81
2021-10-01,SKU_C,Personal Care,984,3.0,2952.0,2241.8,710.2
2021-10-01,SKU_D,Household,775,4.0,3100.0,2324.72,775.28
2021-11-01,SKU_A,Beverages,829,2.5,2072.5,1487.13,585.37
2021-11-01,SKU_B,Snacks,723,1.5,1084.5,797.69,286.81
2021-11-01,SKU_C,Personal Care,900,3.0,2700.0,1945.08,754.92
2021-11-01,SKU_D,Household,750,4.0,3000.0,2068.03,931.97
2021-12-01,SKU_A,Beverages,1063,2.5,2657.5,1600.47,1057.03
2021-12-01,SKU_B,Snacks,843,1.5,1264.5,971.29,293.21
2021-12-01,SKU_C,Personal Care,804,3.0,2412.0,1682.27,729.73
2021-12-01,SKU_D,Household,958,4.0,3832.0,2681.74,1150.26
2022-01-01,SKU_A,Beverages,1066,2.5,2665.0,1758.84,906.16
2022-01-01,SKU_B,Snacks,1066,1.5,1599.0,990.45,608.55
2022-01-01,SKU_C,Personal Care,1082,3.0,3246.0,2117.54,1128.46
2022-01-01,SKU_D,Household,1101,4.0,4404.0,2873.98,1530.02
2022-02-01,SKU_A,Beverages,1265,2.5,3162.5,2406.38,756.12
2022-02-01,SKU_B,Snacks,1077,1.5,1615.5,1075.92,539.58
2022-02-01,SKU_C,Personal Care,1312,3.0,3936.0,3019.9,916.1
2022-02-01,SKU_D,Household,963,4.0,3852.0,2791.12,1060.88
2022-03-01,SKU_A,Beverages,1101,2.5,2752.5,2071.3,681.2
2022-03-01,SKU_B,Snacks,1126,1.5,1689.0,1320.63,368.37
2022-03-01,SKU_C,Personal Care,1169,3.0,3507.0,2691.26,815.74
2022-03-01,SKU_D,Household,1173,4.0,4692.0,3655.35,1036.65
2022-04-01,SKU_A,Beverages,1063,2.5,2657.5,1833.72,823.78
2022-04-01,SKU_B,Snacks,1288,1.5,1932.0,1182.1,749.9
2022-04-01,SKU_C,Personal Care,1117,3.0,3351.0,2087.58,1263.42
2022-04-01,SKU_D,Household,1372,4.0,5488.0,3697.73,1790.27
2022-05-01,SKU_A,Beverages,1091,2.5,2727.5,2067.54,659.96
2022-05-01,SKU_B,Snacks,1153,1.5,1729.5,1182.9,546.6
2022-05-01,SKU_C,Personal Care,1170,3.0,3510.0,2730.71,779.29
2022-05-01,SKU_D,Household,1249,4.0,4996.0,3090.77,1905.23
2022-06-01,SKU_A,Beverages,1241,2.5,3102.5,1924.81,1177.69
2022-06-01,SKU_B,Snacks,1290,1.5,1935.0,1221.52,713.48
2022-06-01,SKU_C,Personal Care,1294,3.0,3882.0,2481.44,1400.56
2022-06-01,SKU_D,Household,1000,4.0,4000.0,2995.03,1004.97
2022-07-01,SKU_A,Beverages,1194,2.5,2985.0,2326.26,658.74
